Designator,Footprint,Layer,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Rotation
C27_PostIsolation9_Drive2,C0603,TopLayer,111.7153mm,161.5874mm,111.7153mm,161.5874mm,111.7153mm,160.8874mm,90
C27_PostIsolation9_Drive3,C0603,TopLayer,106.2539mm,161.5874mm,106.2539mm,161.5874mm,106.2539mm,160.8874mm,90
C27_PostIsolation9_Drive4,C0603,TopLayer,100.7925mm,161.5874mm,100.7925mm,161.5874mm,100.7925mm,160.8874mm,90
C28_PostIsolation1_Drive1,C0603,BottomLayer,292.7404mm,143.2020mm,292.7404mm,143.2020mm,292.7404mm,143.9020mm,270
C28_PostIsolation1_Drive2,C0603,BottomLayer,287.2792mm,143.1987mm,287.2792mm,143.1987mm,287.2792mm,143.8987mm,270
C28_PostIsolation1_Drive3,C0603,BottomLayer,281.8145mm,143.1987mm,281.8145mm,143.1987mm,281.8145mm,143.8987mm,270
C28_PostIsolation1_Drive4,C0603,BottomLayer,276.3591mm,143.1987mm,276.3591mm,143.1987mm,276.3591mm,143.8987mm,270
C28_PostIsolation10_Drive1,C0603,BottomLayer,96.1306mm,143.1987mm,96.1306mm,143.1987mm,96.1306mm,143.8987mm,270
C28_PostIsolation10_Drive2,C0603,BottomLayer,90.6693mm,143.1987mm,90.6693mm,143.1987mm,90.6693mm,143.8987mm,270
C28_PostIsolation10_Drive3,C0603,BottomLayer,85.2079mm,143.1987mm,85.2079mm,143.1987mm,85.2079mm,143.8987mm,270
C28_PostIsolation10_Drive4,C0603,BottomLayer,79.7465mm,143.1987mm,79.7465mm,143.1987mm,79.7465mm,143.8987mm,270
C28_PostIsolation11_Drive1,C0603,BottomLayer,74.2851mm,143.1987mm,74.2851mm,143.1987mm,74.2851mm,143.8987mm,270
C28_PostIsolation11_Drive2,C0603,BottomLayer,68.8237mm,143.1987mm,68.8237mm,143.1987mm,68.8237mm,143.8987mm,270
C28_PostIsolation11_Drive3,C0603,BottomLayer,63.3623mm,143.1987mm,63.3623mm,143.1987mm,63.3623mm,143.8987mm,270
C28_PostIsolation11_Drive4,C0603,BottomLayer,57.9009mm,143.1987mm,57.9009mm,143.1987mm,57.9009mm,143.8987mm,270
C28_PostIsolation12_Drive1,C0603,BottomLayer,52.4396mm,143.1987mm,52.4396mm,143.1987mm,52.4396mm,143.8987mm,270
C28_PostIsolation12_Drive2,C0603,BottomLayer,46.9782mm,143.1987mm,46.9782mm,143.1987mm,46.9782mm,143.8987mm,270
C28_PostIsolation12_Drive3,C0603,BottomLayer,41.5168mm,143.1987mm,41.5168mm,143.1987mm,41.5168mm,143.8987mm,270
C28_PostIsolation12_Drive4,C0603,BottomLayer,36.0554mm,143.1987mm,36.0554mm,143.1987mm,36.0554mm,143.8987mm,270
C28_PostIsolation2_Drive1,C0603,BottomLayer,270.8950mm,143.1987mm,270.8950mm,143.1987mm,270.8950mm,143.8987mm,270
C28_PostIsolation2_Drive2,C0603,BottomLayer,265.4336mm,143.1987mm,265.4336mm,143.1987mm,265.4336mm,143.8987mm,270
C28_PostIsolation2_Drive3,C0603,BottomLayer,259.9722mm,143.1987mm,259.9722mm,143.1987mm,259.9722mm,143.8987mm,270
C28_PostIsolation2_Drive4,C0603,BottomLayer,254.5108mm,143.1987mm,254.5108mm,143.1987mm,254.5108mm,143.8987mm,270
C28_PostIsolation3_Drive1,C0603,BottomLayer,249.0495mm,143.1987mm,249.0495mm,143.1987mm,249.0495mm,143.8987mm,270
C28_PostIsolation3_Drive2,C0603,BottomLayer,243.5881mm,143.1987mm,243.5881mm,143.1987mm,243.5881mm,143.8987mm,270
C28_PostIsolation3_Drive3,C0603,BottomLayer,238.1267mm,143.1987mm,238.1267mm,143.1987mm,238.1267mm,143.8987mm,270
C28_PostIsolation3_Drive4,C0603,BottomLayer,232.6653mm,143.1987mm,232.6653mm,143.1987mm,232.6653mm,143.8987mm,270
C28_PostIsolation4_Drive1,C0603,BottomLayer,227.2039mm,143.1953mm,227.2039mm,143.1953mm,227.2039mm,143.8953mm,270
C28_PostIsolation4_Drive2,C0603,BottomLayer,221.7425mm,143.1987mm,221.7425mm,143.1987mm,221.7425mm,143.8987mm,270
C28_PostIsolation4_Drive3,C0603,BottomLayer,216.2811mm,143.1987mm,216.2811mm,143.1987mm,216.2811mm,143.8987mm,270
C28_PostIsolation4_Drive4,C0603,BottomLayer,210.8198mm,143.2100mm,210.8198mm,143.2100mm,210.8198mm,143.9100mm,270
C28_PostIsolation5_Drive1,C0603,BottomLayer,205.3584mm,143.1987mm,205.3584mm,143.1987mm,205.3584mm,143.8987mm,270
C28_PostIsolation5_Drive2,C0603,BottomLayer,199.8970mm,143.1987mm,199.8970mm,143.1987mm,199.8970mm,143.8987mm,270
C28_PostIsolation5_Drive3,C0603,BottomLayer,194.4356mm,143.1987mm,194.4356mm,143.1987mm,194.4356mm,143.8987mm,270
C28_PostIsolation5_Drive4,C0603,BottomLayer,188.9742mm,143.1987mm,188.9742mm,143.1987mm,188.9742mm,143.8987mm,270
C28_PostIsolation6_Drive1,C0603,BottomLayer,183.5128mm,143.1987mm,183.5128mm,143.1987mm,183.5128mm,143.8987mm,270
C28_PostIsolation6_Drive2,C0603,BottomLayer,178.0514mm,143.1987mm,178.0514mm,143.1987mm,178.0514mm,143.8987mm,270
C28_PostIsolation6_Drive3,C0603,BottomLayer,172.5901mm,143.1987mm,172.5901mm,143.1987mm,172.5901mm,143.8987mm,270
C28_PostIsolation6_Drive4,C0603,BottomLayer,167.1287mm,143.1987mm,167.1287mm,143.1987mm,167.1287mm,143.8987mm,270
C28_PostIsolation7_Drive1,C0603,BottomLayer,161.6673mm,143.1987mm,161.6673mm,143.1987mm,161.6673mm,143.8987mm,270
C28_PostIsolation7_Drive2,C0603,BottomLayer,156.2059mm,143.1987mm,156.2059mm,143.1987mm,156.2059mm,143.8987mm,270
C28_PostIsolation7_Drive3,C0603,BottomLayer,150.7445mm,143.1987mm,150.7445mm,143.1987mm,150.7445mm,143.8987mm,270
C28_PostIsolation7_Drive4,C0603,BottomLayer,145.2831mm,143.1987mm,145.2831mm,143.1987mm,145.2831mm,143.8987mm,270
C28_PostIsolation8_Drive1,C0603,BottomLayer,139.8217mm,143.1987mm,139.8217mm,143.1987mm,139.8217mm,143.8987mm,270
C28_PostIsolation8_Drive2,C0603,BottomLayer,134.3603mm,143.1987mm,134.3603mm,143.1987mm,134.3603mm,143.8987mm,270
C28_PostIsolation8_Drive3,C0603,BottomLayer,128.8990mm,143.1987mm,128.8990mm,143.1987mm,128.8990mm,143.8987mm,270
C28_PostIsolation8_Drive4,C0603,BottomLayer,123.4376mm,143.1987mm,123.4376mm,143.1987mm,123.4376mm,143.8987mm,270
C28_PostIsolation9_Drive1,C0603,BottomLayer,117.9762mm,143.1987mm,117.9762mm,143.1987mm,117.9762mm,143.8987mm,270
C28_PostIsolation9_Drive2,C0603,BottomLayer,112.5148mm,143.1987mm,112.5148mm,143.1987mm,112.5148mm,143.8987mm,270
C28_PostIsolation9_Drive3,C0603,BottomLayer,107.0534mm,143.1987mm,107.0534mm,143.1987mm,107.0534mm,143.8987mm,270
C28_PostIsolation9_Drive4,C0603,BottomLayer,101.5920mm,143.1987mm,101.5920mm,143.1987mm,101.5920mm,143.8987mm,270
C29,C_10_10R2,TopLayer,300.0373mm,148.2893mm,300.0373mm,148.2893mm,300.0373mm,144.1393mm,90
C3,C0402,BottomLayer,169.2870mm,96.2570mm,169.2870mm,96.2570mm,169.2870mm,95.8570mm,90
C30,C_10_10R2,TopLayer,299.9788mm,190.5292mm,299.9788mm,190.5292mm,299.9788mm,194.6792mm,270
C31,C0402,TopLayer,285.0774mm,103.2156mm,285.0774mm,103.2156mm,284.6774mm,103.2156mm,0
C32,C0805,TopLayer,281.1062mm,111.5652mm,281.1062mm,111.5652mm,281.1062mm,110.7652mm,90
C33,C0402,TopLayer,278.7753mm,111.7219mm,278.7753mm,111.7219mm,278.7753mm,111.3219mm,90
C34,C0402,TopLayer,279.7485mm,111.7378mm,279.7485mm,111.7378mm,279.7485mm,111.3378mm,90
C35,C0805,TopLayer,285.0420mm,96.3708mm,285.0420mm,96.3708mm,284.2420mm,96.3708mm,0
C36,C0805,TopLayer,288.5425mm,98.3082mm,288.5425mm,98.3082mm,288.5425mm,99.1082mm,270
C37,C0402,TopLayer,288.5453mm,101.9416mm,288.5453mm,101.9416mm,288.9453mm,101.9416mm,180
C38,C0402,TopLayer,288.5453mm,100.2909mm,288.5453mm,100.2909mm,288.9453mm,100.2909mm,180
C39,C0402,TopLayer,301.2728mm,114.9859mm,301.2728mm,114.9859mm,301.2728mm,114.5859mm,90
C4,C0402,BottomLayer,169.2870mm,117.3570mm,169.2870mm,117.3570mm,169.2870mm,117.7570mm,270
C40,C0402,TopLayer,283.3060mm,92.6821mm,283.3060mm,92.6821mm,283.3060mm,93.0821mm,270
C41,C0603,TopLayer,301.2977mm,111.9334mm,301.2977mm,111.9334mm,301.2977mm,112.6335mm,270
C42,C0402,BottomLayer,259.1467mm,109.8509mm,259.1467mm,109.8509mm,259.1467mm,110.2509mm,270
C43,C0402,BottomLayer,260.1217mm,109.8509mm,260.1217mm,109.8509mm,260.1217mm,110.2509mm,270
C44,C0402,BottomLayer,258.1717mm,109.8509mm,258.1717mm,109.8509mm,258.1717mm,110.2509mm,270
C5,C0402,BottomLayer,173.2870mm,117.3570mm,173.2870mm,117.3570mm,173.2870mm,117.7570mm,270
C6,C0402,BottomLayer,158.4870mm,107.0570mm,158.4870mm,107.0570mm,158.0870mm,107.0570mm,0
C7,C0402,BottomLayer,164.2870mm,117.3570mm,164.2870mm,117.3570mm,164.2870mm,117.7570mm,270
C8,C0402,BottomLayer,164.2870mm,96.2570mm,164.2870mm,96.2570mm,164.2870mm,95.8570mm,90
C9,C0402,BottomLayer,158.4870mm,102.0570mm,158.4870mm,102.0570mm,158.0870mm,102.0570mm,0
D1_PostIsolation1_Isolation1,LED0603,TopLayer,285.3969mm,128.5202mm,285.3969mm,128.5202mm,285.3969mm,127.8202mm,90
D1_PostIsolation10_Isolation10,LED0603,TopLayer,88.7868mm,128.5202mm,88.7868mm,128.5202mm,88.7868mm,127.8202mm,90
D1_PostIsolation11_Isolation11,LED0603,TopLayer,66.9412mm,128.5202mm,66.9412mm,128.5202mm,66.9412mm,127.8202mm,90
D1_PostIsolation12_Isolation12,LED0603,TopLayer,45.0957mm,128.5202mm,45.0957mm,128.5202mm,45.0957mm,127.8202mm,90
D1_PostIsolation2_Isolation2,LED0603,TopLayer,263.5497mm,128.5207mm,263.5497mm,128.5207mm,263.5497mm,127.8207mm,90
D1_PostIsolation3_Isolation3,LED0603,TopLayer,241.7042mm,128.5207mm,241.7042mm,128.5207mm,241.7042mm,127.8207mm,90
D1_PostIsolation4_Isolation4,LED0603,TopLayer,219.8600mm,128.5315mm,219.8600mm,128.5315mm,219.8600mm,127.8315mm,90
D1_PostIsolation5_Isolation5,LED0603,TopLayer,198.0145mm,128.5202mm,198.0145mm,128.5202mm,198.0145mm,127.8202mm,90
D1_PostIsolation6_Isolation6,LED0603,TopLayer,176.1690mm,128.5202mm,176.1690mm,128.5202mm,176.1690mm,127.8202mm,90
D1_PostIsolation7_Isolation7,LED0603,TopLayer,154.3234mm,128.5202mm,154.3234mm,128.5202mm,154.3234mm,127.8202mm,90
D1_PostIsolation8_Isolation8,LED0603,TopLayer,132.4779mm,128.5202mm,132.4779mm,128.5202mm,132.4779mm,127.8202mm,90
D1_PostIsolation9_Isolation9,LED0603,TopLayer,110.6323mm,128.5202mm,110.6323mm,128.5202mm,110.6323mm,127.8202mm,90
D10,LED0603,TopLayer,301.9093mm,121.3786mm,301.9093mm,121.3786mm,301.2093mm,121.3786mm,0
D11,ZMM5V6-M,TopLayer,285.0138mm,90.5441mm,285.0139mm,90.5441mm,286.6639mm,90.5441mm,180
D2_PostIsolation1_Isolation1,LED0603,TopLayer,287.8958mm,128.5202mm,287.8958mm,128.5202mm,287.8958mm,127.8202mm,90
D2_PostIsolation10_Isolation10,LED0603,TopLayer,91.2857mm,128.5202mm,91.2857mm,128.5202mm,91.2857mm,127.8202mm,90
D2_PostIsolation11_Isolation11,LED0603,TopLayer,69.4402mm,128.5202mm,69.4402mm,128.5202mm,69.4402mm,127.8202mm,90
D2_PostIsolation12_Isolation12,LED0603,TopLayer,47.5946mm,128.5202mm,47.5946mm,128.5202mm,47.5946mm,127.8202mm,90
D2_PostIsolation2_Isolation2,LED0603,TopLayer,266.0487mm,128.5207mm,266.0487mm,128.5207mm,266.0487mm,127.8207mm,90
D2_PostIsolation3_Isolation3,LED0603,TopLayer,244.2031mm,128.5207mm,244.2031mm,128.5207mm,244.2031mm,127.8207mm,90
D2_PostIsolation4_Isolation4,LED0603,TopLayer,222.3590mm,128.5315mm,222.3590mm,128.5315mm,222.3590mm,127.8315mm,90
D2_PostIsolation5_Isolation5,LED0603,TopLayer,200.5134mm,128.5202mm,200.5134mm,128.5202mm,200.5134mm,127.8202mm,90
D2_PostIsolation6_Isolation6,LED0603,TopLayer,178.6679mm,128.5202mm,178.6679mm,128.5202mm,178.6679mm,127.8202mm,90
D2_PostIsolation7_Isolation7,LED0603,TopLayer,156.8223mm,128.5202mm,156.8223mm,128.5202mm,156.8223mm,127.8202mm,90
D2_PostIsolation8_Isolation8,LED0603,TopLayer,134.9768mm,128.5202mm,134.9768mm,128.5202mm,134.9768mm,127.8202mm,90
D2_PostIsolation9_Isolation9,LED0603,TopLayer,113.1313mm,128.5202mm,113.1313mm,128.5202mm,113.1313mm,127.8202mm,90
D3_PostIsolation1_Isolation1,LED0603,TopLayer,290.3947mm,128.5202mm,290.3947mm,128.5202mm,290.3947mm,127.8202mm,90
D3_PostIsolation10_Isolation10,LED0603,TopLayer,93.7847mm,128.5202mm,93.7847mm,128.5202mm,93.7847mm,127.8202mm,90
D3_PostIsolation11_Isolation11,LED0603,TopLayer,71.9391mm,128.5202mm,71.9391mm,128.5202mm,71.9391mm,127.8202mm,90
D3_PostIsolation12_Isolation12,LED0603,TopLayer,50.0936mm,128.5202mm,50.0936mm,128.5202mm,50.0936mm,127.8202mm,90
D3_PostIsolation2_Isolation2,LED0603,TopLayer,268.5476mm,128.5207mm,268.5476mm,128.5207mm,268.5476mm,127.8207mm,90
D3_PostIsolation3_Isolation3,LED0603,TopLayer,246.7021mm,128.5207mm,246.7021mm,128.5207mm,246.7021mm,127.8207mm,90
D3_PostIsolation4_Isolation4,LED0603,TopLayer,224.8579mm,128.5315mm,224.8579mm,128.5315mm,224.8579mm,127.8315mm,90
D3_PostIsolation5_Isolation5,LED0603,TopLayer,203.0124mm,128.5202mm,203.0124mm,128.5202mm,203.0124mm,127.8202mm,90
D3_PostIsolation6_Isolation6,LED0603,TopLayer,181.1668mm,128.5202mm,181.1668mm,128.5202mm,181.1668mm,127.8202mm,90
D3_PostIsolation7_Isolation7,LED0603,TopLayer,159.3213mm,128.5202mm,159.3213mm,128.5202mm,159.3213mm,127.8202mm,90
D3_PostIsolation8_Isolation8,LED0603,TopLayer,137.4757mm,128.5202mm,137.4757mm,128.5202mm,137.4757mm,127.8202mm,90
D3_PostIsolation9_Isolation9,LED0603,TopLayer,115.6302mm,128.5202mm,115.6302mm,128.5202mm,115.6302mm,127.8202mm,90
D4_PostIsolation1_Isolation1,LED0603,TopLayer,292.8937mm,128.5202mm,292.8937mm,128.5202mm,292.8937mm,127.8202mm,90
D4_PostIsolation10_Isolation10,LED0603,TopLayer,96.2836mm,128.5202mm,96.2836mm,128.5202mm,96.2836mm,127.8202mm,90
D4_PostIsolation11_Isolation11,LED0603,TopLayer,74.4380mm,128.5202mm,74.4380mm,128.5202mm,74.4380mm,127.8202mm,90
D4_PostIsolation12_Isolation12,LED0603,TopLayer,52.5925mm,128.5202mm,52.5925mm,128.5202mm,52.5925mm,127.8202mm,90
D4_PostIsolation2_Isolation2,LED0603,TopLayer,271.0465mm,128.5207mm,271.0465mm,128.5207mm,271.0465mm,127.8207mm,90
D4_PostIsolation3_Isolation3,LED0603,TopLayer,249.2010mm,128.5207mm,249.2010mm,128.5207mm,249.2010mm,127.8207mm,90
D4_PostIsolation4_Isolation4,LED0603,TopLayer,227.3569mm,128.5315mm,227.3569mm,128.5315mm,227.3569mm,127.8315mm,90
D4_PostIsolation5_Isolation5,LED0603,TopLayer,205.5113mm,128.5202mm,205.5113mm,128.5202mm,205.5113mm,127.8202mm,90
D4_PostIsolation6_Isolation6,LED0603,TopLayer,183.6658mm,128.5202mm,183.6658mm,128.5202mm,183.6658mm,127.8202mm,90
D4_PostIsolation7_Isolation7,LED0603,TopLayer,161.8202mm,128.5202mm,161.8202mm,128.5202mm,161.8202mm,127.8202mm,90
D4_PostIsolation8_Isolation8,LED0603,TopLayer,139.9747mm,128.5202mm,139.9747mm,128.5202mm,139.9747mm,127.8202mm,90
D4_PostIsolation9_Isolation9,LED0603,TopLayer,118.1291mm,128.5202mm,118.1291mm,128.5202mm,118.1291mm,127.8202mm,90
D5_PostIsolation1_Drive1,sod-123,TopLayer,292.6993mm,144.0828mm,292.6993mm,144.0828mm,292.6993mm,142.3078mm,90
D5_PostIsolation1_Drive2,sod-123,TopLayer,287.2381mm,144.0796mm,287.2381mm,144.0796mm,287.2381mm,142.3046mm,90
D5_PostIsolation1_Drive3,sod-123,TopLayer,281.7733mm,144.0796mm,281.7733mm,144.0796mm,281.7733mm,142.3046mm,90
D5_PostIsolation1_Drive4,sod-123,TopLayer,276.3179mm,144.0796mm,276.3179mm,144.0796mm,276.3179mm,142.3046mm,90
D5_PostIsolation10_Drive1,sod-123,TopLayer,96.0895mm,144.0795mm,96.0895mm,144.0795mm,96.0895mm,142.3045mm,90
D5_PostIsolation10_Drive2,sod-123,TopLayer,90.6281mm,144.0795mm,90.6281mm,144.0795mm,90.6281mm,142.3045mm,90
D5_PostIsolation10_Drive3,sod-123,TopLayer,85.1667mm,144.0795mm,85.1667mm,144.0795mm,85.1667mm,142.3045mm,90
D5_PostIsolation10_Drive4,sod-123,TopLayer,79.7053mm,144.0795mm,79.7053mm,144.0795mm,79.7053mm,142.3045mm,90
D5_PostIsolation11_Drive1,sod-123,TopLayer,74.2439mm,144.0796mm,74.2439mm,144.0796mm,74.2439mm,142.3046mm,90
D5_PostIsolation11_Drive2,sod-123,TopLayer,68.7826mm,144.0796mm,68.7826mm,144.0796mm,68.7826mm,142.3046mm,90
D5_PostIsolation11_Drive3,sod-123,TopLayer,63.3212mm,144.0796mm,63.3212mm,144.0796mm,63.3212mm,142.3046mm,90
D5_PostIsolation11_Drive4,sod-123,TopLayer,57.8598mm,144.0796mm,57.8598mm,144.0796mm,57.8598mm,142.3046mm,90
D5_PostIsolation12_Drive1,sod-123,TopLayer,52.3984mm,144.0795mm,52.3984mm,144.0795mm,52.3984mm,142.3045mm,90
D5_PostIsolation12_Drive2,sod-123,TopLayer,46.9370mm,144.0795mm,46.9370mm,144.0795mm,46.9370mm,142.3045mm,90
D5_PostIsolation12_Drive3,sod-123,TopLayer,41.4756mm,144.0795mm,41.4756mm,144.0795mm,41.4756mm,142.3045mm,90
D5_PostIsolation12_Drive4,sod-123,TopLayer,36.0142mm,144.0795mm,36.0142mm,144.0795mm,36.0142mm,142.3045mm,90
D5_PostIsolation2_Drive1,sod-123,TopLayer,270.8538mm,144.0796mm,270.8538mm,144.0796mm,270.8538mm,142.3046mm,90
D5_PostIsolation2_Drive2,sod-123,TopLayer,265.3925mm,144.0796mm,265.3925mm,144.0796mm,265.3925mm,142.3046mm,90
D5_PostIsolation2_Drive3,sod-123,TopLayer,259.9311mm,144.0796mm,259.9311mm,144.0796mm,259.9311mm,142.3046mm,90
D5_PostIsolation2_Drive4,sod-123,TopLayer,254.4697mm,144.0796mm,254.4697mm,144.0796mm,254.4697mm,142.3046mm,90
D5_PostIsolation3_Drive1,sod-123,TopLayer,249.0083mm,144.0796mm,249.0083mm,144.0796mm,249.0083mm,142.3046mm,90
D5_PostIsolation3_Drive2,sod-123,TopLayer,243.5469mm,144.0796mm,243.5469mm,144.0796mm,243.5469mm,142.3046mm,90
D5_PostIsolation3_Drive3,sod-123,TopLayer,238.0855mm,144.0796mm,238.0855mm,144.0796mm,238.0855mm,142.3046mm,90
D5_PostIsolation3_Drive4,sod-123,TopLayer,232.6241mm,144.0796mm,232.6241mm,144.0796mm,232.6241mm,142.3046mm,90
D5_PostIsolation4_Drive1,sod-123,TopLayer,227.1628mm,144.0762mm,227.1628mm,144.0762mm,227.1628mm,142.3012mm,90
D5_PostIsolation4_Drive2,sod-123,TopLayer,221.7014mm,144.0796mm,221.7014mm,144.0796mm,221.7014mm,142.3046mm,90
D5_PostIsolation4_Drive3,sod-123,TopLayer,216.2400mm,144.0796mm,216.2400mm,144.0796mm,216.2400mm,142.3046mm,90
D5_PostIsolation4_Drive4,sod-123,TopLayer,210.7786mm,144.0909mm,210.7786mm,144.0909mm,210.7786mm,142.3159mm,90
D5_PostIsolation5_Drive1,sod-123,TopLayer,205.3172mm,144.0796mm,205.3172mm,144.0796mm,205.3172mm,142.3046mm,90
D5_PostIsolation5_Drive2,sod-123,TopLayer,199.8558mm,144.0796mm,199.8558mm,144.0796mm,199.8558mm,142.3046mm,90
D5_PostIsolation5_Drive3,sod-123,TopLayer,194.3944mm,144.0796mm,194.3944mm,144.0796mm,194.3944mm,142.3046mm,90
D5_PostIsolation5_Drive4,sod-123,TopLayer,188.9331mm,144.0796mm,188.9331mm,144.0796mm,188.9331mm,142.3046mm,90
D5_PostIsolation6_Drive1,sod-123,TopLayer,183.4717mm,144.0796mm,183.4717mm,144.0796mm,183.4717mm,142.3046mm,90
D5_PostIsolation6_Drive2,sod-123,TopLayer,178.0103mm,144.0796mm,178.0103mm,144.0796mm,178.0103mm,142.3046mm,90
D5_PostIsolation6_Drive3,sod-123,TopLayer,172.5489mm,144.0796mm,172.5489mm,144.0796mm,172.5489mm,142.3046mm,90
D5_PostIsolation6_Drive4,sod-123,TopLayer,167.0875mm,144.0796mm,167.0875mm,144.0796mm,167.0875mm,142.3046mm,90
D5_PostIsolation7_Drive1,sod-123,TopLayer,161.6261mm,144.0796mm,161.6261mm,144.0796mm,161.6261mm,142.3046mm,90
D5_PostIsolation7_Drive2,sod-123,TopLayer,156.1647mm,144.0796mm,156.1647mm,144.0796mm,156.1647mm,142.3046mm,90
D5_PostIsolation7_Drive3,sod-123,TopLayer,150.7033mm,144.0796mm,150.7033mm,144.0796mm,150.7033mm,142.3046mm,90
D5_PostIsolation7_Drive4,sod-123,TopLayer,145.2420mm,144.0796mm,145.2420mm,144.0796mm,145.2420mm,142.3046mm,90
D5_PostIsolation8_Drive1,sod-123,TopLayer,139.7806mm,144.0796mm,139.7806mm,144.0796mm,139.7806mm,142.3046mm,90
D5_PostIsolation8_Drive2,sod-123,TopLayer,134.3192mm,144.0796mm,134.3192mm,144.0796mm,134.3192mm,142.3046mm,90
D5_PostIsolation8_Drive3,sod-123,TopLayer,128.8578mm,144.0796mm,128.8578mm,144.0796mm,128.8578mm,142.3046mm,90
D5_PostIsolation8_Drive4,sod-123,TopLayer,123.3964mm,144.0796mm,123.3964mm,144.0796mm,123.3964mm,142.3046mm,90
D5_PostIsolation9_Drive1,sod-123,TopLayer,117.9350mm,144.0795mm,117.9350mm,144.0795mm,117.9350mm,142.3045mm,90
D5_PostIsolation9_Drive2,sod-123,TopLayer,112.4736mm,144.0795mm,112.4736mm,144.0795mm,112.4736mm,142.3045mm,90
D5_PostIsolation9_Drive3,sod-123,TopLayer,107.0123mm,144.0795mm,107.0123mm,144.0795mm,107.0123mm,142.3045mm,90
D5_PostIsolation9_Drive4,sod-123,TopLayer,101.5509mm,144.0795mm,101.5509mm,144.0795mm,101.5509mm,142.3045mm,90
D6_PostIsolation1_Drive1,1N4148,TopLayer,291.2541mm,164.5188mm,291.2541mm,164.5188mm,293.0321mm,164.5188mm,180
D6_PostIsolation1_Drive2,1N4148,TopLayer,285.7929mm,164.5155mm,285.7929mm,164.5155mm,287.5709mm,164.5155mm,180
D6_PostIsolation1_Drive3,1N4148,TopLayer,280.3282mm,164.5155mm,280.3282mm,164.5155mm,282.1062mm,164.5155mm,180
D6_PostIsolation1_Drive4,1N4148,TopLayer,274.8728mm,164.5155mm,274.8728mm,164.5155mm,276.6508mm,164.5155mm,180
D6_PostIsolation10_Drive1,1N4148,TopLayer,94.6443mm,164.5155mm,94.6443mm,164.5155mm,96.4223mm,164.5155mm,180
D6_PostIsolation10_Drive2,1N4148,TopLayer,89.1829mm,164.5155mm,89.1829mm,164.5155mm,90.9609mm,164.5155mm,180
D6_PostIsolation10_Drive3,1N4148,TopLayer,83.7215mm,164.5155mm,83.7215mm,164.5155mm,85.4996mm,164.5155mm,180
D6_PostIsolation10_Drive4,1N4148,TopLayer,78.2602mm,164.5155mm,78.2602mm,164.5155mm,80.0382mm,164.5155mm,180
D6_PostIsolation11_Drive1,1N4148,TopLayer,72.7988mm,164.5155mm,72.7988mm,164.5155mm,74.5768mm,164.5155mm,180
D6_PostIsolation11_Drive2,1N4148,TopLayer,67.3374mm,164.5155mm,67.3374mm,164.5155mm,69.1154mm,164.5155mm,180
D6_PostIsolation11_Drive3,1N4148,TopLayer,61.8760mm,164.5155mm,61.8760mm,164.5155mm,63.6540mm,164.5155mm,180
D6_PostIsolation11_Drive4,1N4148,TopLayer,56.4146mm,164.5155mm,56.4146mm,164.5155mm,58.1926mm,164.5155mm,180
D6_PostIsolation12_Drive1,1N4148,TopLayer,50.9532mm,164.5155mm,50.9532mm,164.5155mm,52.7312mm,164.5155mm,180
D6_PostIsolation12_Drive2,1N4148,TopLayer,45.4919mm,164.5155mm,45.4919mm,164.5155mm,47.2699mm,164.5155mm,180
D6_PostIsolation12_Drive3,1N4148,TopLayer,40.0305mm,164.5155mm,40.0305mm,164.5155mm,41.8085mm,164.5155mm,180
D6_PostIsolation12_Drive4,1N4148,TopLayer,34.5691mm,164.5155mm,34.5691mm,164.5155mm,36.3471mm,164.5155mm,180
D6_PostIsolation2_Drive1,1N4148,TopLayer,269.4087mm,164.5155mm,269.4087mm,164.5155mm,271.1867mm,164.5155mm,180
D6_PostIsolation2_Drive2,1N4148,TopLayer,263.9473mm,164.5155mm,263.9473mm,164.5155mm,265.7253mm,164.5155mm,180
D6_PostIsolation2_Drive3,1N4148,TopLayer,258.4859mm,164.5155mm,258.4859mm,164.5155mm,260.2639mm,164.5155mm,180
D6_PostIsolation2_Drive4,1N4148,TopLayer,253.0245mm,164.5155mm,253.0245mm,164.5155mm,254.8025mm,164.5155mm,180
D6_PostIsolation3_Drive1,1N4148,TopLayer,247.5631mm,164.5155mm,247.5631mm,164.5155mm,249.3411mm,164.5155mm,180
D6_PostIsolation3_Drive2,1N4148,TopLayer,242.1018mm,164.5155mm,242.1018mm,164.5155mm,243.8798mm,164.5155mm,180
D6_PostIsolation3_Drive3,1N4148,TopLayer,236.6404mm,164.5155mm,236.6404mm,164.5155mm,238.4184mm,164.5155mm,180
D6_PostIsolation3_Drive4,1N4148,TopLayer,231.1790mm,164.5155mm,231.1790mm,164.5155mm,232.9570mm,164.5155mm,180
D6_PostIsolation4_Drive1,1N4148,TopLayer,225.7176mm,164.5121mm,225.7176mm,164.5121mm,227.4956mm,164.5121mm,180
D6_PostIsolation4_Drive2,1N4148,TopLayer,220.2562mm,164.5155mm,220.2562mm,164.5155mm,222.0342mm,164.5155mm,180
D6_PostIsolation4_Drive3,1N4148,TopLayer,214.7948mm,164.5155mm,214.7948mm,164.5155mm,216.5728mm,164.5155mm,180
D6_PostIsolation4_Drive4,1N4148,TopLayer,209.3334mm,164.5268mm,209.3334mm,164.5268mm,211.1114mm,164.5268mm,180
